status,RT
1,0.984
1,1.177
1,1.121
1,0.89
1,0.918
1,1.066
1,1.163
1,0.915
0,1.32
1,1.057
1,1.353
1,0.824
0,1.268
1,1.092
0,1.401
0,1.41
1,0.871
1,1.007
1,1.146
1,1.169
1,1.064
1,1.005
1,1.046
1,1.297
1,1.024
0,1.09
1,0.828
1,1.027
1,0.85
0,1.213
1,0.912
1,1.061
1,1.029
0,1.367
1,1.14
0,1.103
1,0.972
1,1.105
1,1.176
1,1.246
1,0.971
1,1.247
1,1.151
1,1.323
1,1.142
1,1.179
0,1.215
1,1.094
1,1.153
1,0.849
0,1.29
0,1.296
1,0.909
1,1.212
1,1.231
1,0.907
1,1.277
1,1.231
0,1.106
1,1.532
0,1.277
1,0.802
1,1.393
0,1.187
1,1.141
1,1.098
1,1.245
0,1.503
1,0.888
1,1.297
1,0.903
1,0.916
0,1.147
0,1.132
0,1.258
0,1.335
1,1.109
1,0.876
1,1.084
1,0.985
1,1.123
1,1.034
1,1.801
1,1.06
1,1.159
1,0.846
1,1.112
1,1.481
1,1.324
1,1.135
1,1.181
1,0.909
1,0.818
1,0.852
1,1.1
0,1.224
1,1.21
1,1.088
0,1.425
0,1.239
1,0.839
